state_prefix,constituency_name,candidate_name,party,party_abbreviation,incumbent,source_url,source_label,nomination_status
TN,Sankarankovil,Sangai Ganeshan,Indian National Congress,INC,,https://res.cloudinary.com/dkplc2mbj/image/upload/v1775243778/PR_TN_Candidates_VS_2026_608be33501.pdf,Official INC Tamil Nadu candidate list PDF (3 Apr 2026),manual_seed
TN,Ambasamudram,V.P. Durai,Indian National Congress,INC,,https://res.cloudinary.com/dkplc2mbj/image/upload/v1775243778/PR_TN_Candidates_VS_2026_608be33501.pdf,Official INC Tamil Nadu candidate list PDF (3 Apr 2026),manual_seed
TN,Nanguneri,Ruby Manoharan,Indian National Congress,INC,,https://res.cloudinary.com/dkplc2mbj/image/upload/v1775243778/PR_TN_Candidates_VS_2026_608be33501.pdf,Official INC Tamil Nadu candidate list PDF (3 Apr 2026),manual_seed
TN,Colachal,Dr. Tharagai Cuthbert,Indian National Congress,INC,,https://res.cloudinary.com/dkplc2mbj/image/upload/v1775243778/PR_TN_Candidates_VS_2026_608be33501.pdf,Official INC Tamil Nadu candidate list PDF (3 Apr 2026),manual_seed
TN,Vilavancode,T.T. Praveen,Indian National Congress,INC,,https://res.cloudinary.com/dkplc2mbj/image/upload/v1775243778/PR_TN_Candidates_VS_2026_608be33501.pdf,Official INC Tamil Nadu candidate list PDF (3 Apr 2026),manual_seed
TN,Killiyoor,Adv. S. Rajesh Kumar,Indian National Congress,INC,,https://res.cloudinary.com/dkplc2mbj/image/upload/v1775243778/PR_TN_Candidates_VS_2026_608be33501.pdf,Official INC Tamil Nadu candidate list PDF (3 Apr 2026),manual_seed
WB,Mekliganj,Paresh Chandra Adhikary,All India Trinamool Congress,AITC,,https://static.aitcofficial.org/uploads/2026/03/AITC-Candidate-List-2026.pdf,Official AITC West Bengal candidate list PDF (Mar 2026),manual_seed
WB,Mekliganj,Smt. Ila Rani Roy,Indian National Congress,INC,,https://res.cloudinary.com/dkplc2mbj/image/upload/v1774794864/PR_1_WB_Candidates_2026_72d9f09a56.pdf,Official INC West Bengal candidate list PDF (29 Mar 2026),manual_seed
WB,Mathabhanga,Sablu Barman,All India Trinamool Congress,AITC,,https://static.aitcofficial.org/uploads/2026/03/AITC-Candidate-List-2026.pdf,Official AITC West Bengal candidate list PDF (Mar 2026),manual_seed
WB,Mathabhanga,Khitendra Nath Barman,Indian National Congress,INC,,https://res.cloudinary.com/dkplc2mbj/image/upload/v1774794864/PR_1_WB_Candidates_2026_72d9f09a56.pdf,Official INC West Bengal candidate list PDF (29 Mar 2026),manual_seed
WB,Cooch Behar Uttar,Partha Pratim Roy,All India Trinamool Congress,AITC,,https://static.aitcofficial.org/uploads/2026/03/AITC-Candidate-List-2026.pdf,Official AITC West Bengal candidate list PDF (Mar 2026),manual_seed
WB,Cooch Behar Uttar,Partha Pratim Ishore,Indian National Congress,INC,,https://res.cloudinary.com/dkplc2mbj/image/upload/v1774794864/PR_1_WB_Candidates_2026_72d9f09a56.pdf,Official INC West Bengal candidate list PDF (29 Mar 2026),manual_seed
WB,Cooch Behar Dakshin,Avijit De Bhowmick (Hippy),All India Trinamool Congress,AITC,,https://static.aitcofficial.org/uploads/2026/03/AITC-Candidate-List-2026.pdf,Official AITC West Bengal candidate list PDF (Mar 2026),manual_seed
WB,Cooch Behar Dakshin,Khokan Mian,Indian National Congress,INC,,https://res.cloudinary.com/dkplc2mbj/image/upload/v1774794864/PR_1_WB_Candidates_2026_72d9f09a56.pdf,Official INC West Bengal candidate list PDF (29 Mar 2026),manual_seed
WB,Sitalkuchi,Harihar Das,All India Trinamool Congress,AITC,,https://static.aitcofficial.org/uploads/2026/03/AITC-Candidate-List-2026.pdf,Official AITC West Bengal candidate list PDF (Mar 2026),manual_seed
WB,Sitalkuchi,Sukamal Barman,Indian National Congress,INC,,https://res.cloudinary.com/dkplc2mbj/image/upload/v1774794864/PR_1_WB_Candidates_2026_72d9f09a56.pdf,Official INC West Bengal candidate list PDF (29 Mar 2026),manual_seed
WB,Sitai,Sangita Roy Basunia,All India Trinamool Congress,AITC,,https://static.aitcofficial.org/uploads/2026/03/AITC-Candidate-List-2026.pdf,Official AITC West Bengal candidate list PDF (Mar 2026),manual_seed
